index,question,encoding,answer,type
1048,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
1049,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1050,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1051,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1052,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1053,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
1054,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
1055,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1056,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1057,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1058,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1059,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
1060,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1061,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1062,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1063,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1064,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1065,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1066,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1067,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1068,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
1069,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1070,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1071,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
1072,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
1073,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1074,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1075,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1076,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1077,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1078,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1079,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1080,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1081,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
1082,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
1083,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1084,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1085,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1086,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
1087,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1088,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
1089,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
1090,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
1091,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
1092,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1093,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1094,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1095,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1096,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1097,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",gray,0
1098,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1099,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1100,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1101,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1102,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1103,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
1104,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1105,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1106,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1107,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1108,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
1109,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1110,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1111,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1112,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1113,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",bottom,1
1114,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1115,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
1116,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
1117,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
1118,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1119,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1120,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1121,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1122,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1123,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1124,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",blue,0
1125,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1126,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1127,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1128,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
1129,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1130,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1131,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1132,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1133,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
1134,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1135,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1136,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",bottom,1
1137,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1138,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1139,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1140,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1141,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
1142,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1143,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1144,Is the gray object on the top or on the bottom?,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1145,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
1146,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1147,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
1148,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1149,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
1150,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",gray,0
1151,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1152,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
1153,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1154,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1155,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1156,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",top,1
1157,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1158,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1159,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1160,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1161,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",gray,0
1162,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1163,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1164,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1165,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",green,0
1166,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1167,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1168,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
1169,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",gray,0
1170,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1171,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
1172,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1173,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",red,0
1174,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
1175,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
1176,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",bottom,1
1177,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
1178,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1179,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1180,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
1181,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
1182,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1183,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1184,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
1185,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1186,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1187,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
1188,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
1189,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",blue,0
1190,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1191,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1192,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
1193,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1194,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
1195,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",right,1
1196,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",blue,0
1197,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1198,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
1199,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",square,0
1200,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1201,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1202,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1203,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1204,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
1205,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1206,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1207,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
1208,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",circle,1
1209,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1210,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1211,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1212,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
1213,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1214,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",circle,1
1215,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1216,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1217,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1218,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1219,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1220,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",blue,0
1221,What is the shape of the blue object?,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",square,1
1222,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1223,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1224,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1225,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1226,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1227,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1228,Is the yellow object on the left or on the right?,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",left,1
1229,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",circle,1
1230,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",gray,0
1231,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1232,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1233,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",green,0
1234,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1235,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1236,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1237,What is the shape of the gray object?,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1238,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",top,1
1239,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
1240,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1241,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
1242,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",right,1
1243,What is the color of the object that is closest to the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",green,0
1244,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1245,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1246,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
1247,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1248,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
1249,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1250,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1251,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1252,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",yellow,0
1253,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1254,What is the shape of the object that is furthest from the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1255,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",square,1
1256,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1257,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1258,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1259,Is the blue object on the left or on the right?,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",left,1
1260,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1261,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1262,What is the shape of the yellow object?,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",square,1
1263,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1264,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1265,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",square,0
1266,Is the red object on the left or on the right?,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",left,1
1267,Is the yellow object on the top or on the bottom?,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",bottom,1
1268,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
1269,What is the shape of the object that is furthest from the yellow object?,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",circle,0
1270,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
1271,Is the green object on the left or on the right?,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1272,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1273,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",green,0
1274,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",red,0
1275,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
1276,What is the color of the object that is closest to the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",yellow,0
1277,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1278,What is the color of the object that is closest to the gray object?,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",red,0
1279,What is the color of the object that is closest to the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",gray,0
1280,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",square,0
1281,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",bottom,1
1282,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",square,0
1283,Is the red object on the top or on the bottom?,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1284,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",bottom,1
1285,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",right,1
1286,What is the shape of the object that is furthest from the red object?,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",circle,0
1287,What is the shape of the green object?,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",circle,1
1288,Is the blue object on the top or on the bottom?,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",top,1
1289,What is the color of the object that is closest to the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",gray,0
1290,Is the green object on the top or on the bottom?,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",top,1
1291,Is the gray object on the left or on the right?,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",left,1
1292,What is the shape of the object that is furthest from the green object?,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",circle,0
1293,What is the shape of the object that is furthest from the blue object?,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",circle,0
1294,What is the shape of the red object?,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",square,1
